entidad,pib_pc,pct_pib,nivel,region
Ciudad de Mexico,285.2,14.8,0,Centro
Nuevo Leon,268.4,7.9,1,Norte
Campeche,251.3,2.1,E,Sureste
Queretaro,198.7,2.6,2,Centro-Norte
Baja California Sur,187.4,0.9,E,Norte
Coahuila,176.2,3.7,1,Norte
Baja California,163.8,3.9,1,Norte
Chihuahua,159.4,3.9,1,Norte
Sonora,154.1,3.4,1,Norte
Tamaulipas,149.3,2.8,1,Norte
Jalisco,144.7,7.5,1,Occidente
Aguascalientes,143.2,1.4,2,Centro-Norte
Colima,137.8,0.6,2,Occidente
Guanajuato,119.4,4.4,1,Centro-Norte
Quintana Roo,112.6,1.3,E,Sureste
Estado de Mexico,109.8,9.1,2,Centro
Morelos,108.4,0.9,3,Centro
Sinaloa,107.9,1.8,2,Noroeste
Durango,106.3,1.2,2,Norte
San Luis Potosi,104.7,2.0,2,Centro-Norte
Yucatan,103.2,1.5,2,Sureste
Zacatecas,99.8,0.9,3,Centro-Norte
Tabasco,98.4,1.4,3,Sureste
Nayarit,97.2,0.6,3,Occidente
Puebla,94.6,3.5,1,Centro
Hidalgo,89.3,1.5,3,Centro
Michoacan,84.7,2.2,3,Occidente
Veracruz,74.8,4.3,3,Sureste
Tlaxcala,68.4,0.5,3,Centro
Guerrero,64.2,1.2,3,Sur
Oaxaca,58.7,1.5,3,Sur
Chiapas,43.9,1.8,3,Sur
