gene_id,tpm_value
TPM-MYC,450.3
TP53,22.1
BRCA1,30.4
CDK4,280.1
E2F1,310.7
CCND1,240.5
MCM2,390.2
MCM7,375.6
PCNA,330.9
TOP2A,185.4
AURKB,220.3
BUB1 ,95.2
PLK1,198.7
CDKN1A,18.4
MDM2,15.0
BAX,10.2
PUMA,8.9
GADD45A,9.3
TIGAR,7.8
DDB2,11.2
SESN1,12.5
RAD51,45.7
FANCD2,38.2
RPA1,55.3
RFC1,49.1
EGFR,145.0
GRB2,130.2
SOS1,120.5
PIK3CA,160.3
AKT1,175.8
STAT3,155.9
ERK2,148.4
MTOR,145.7
KRAS,88.4
RAF1,92.1
MEK1,78.3
ERK1,85.2
NRAS,72.1
PI3K,68.9
BRAF,95.3
MEK2,89.7
PTEN,15.2
RB1,19.3
VHL,28.4
HIF1A,82.3
VEGFA,95.1
CDKN2A,12.3
CDK6,220.5
APC,18.9
CTNNB1,215.3
TCF4,198.4
SMAD4,14.2
TGFb1,25.3
TGFb2,22.1
ENSG00000141510.12,22.1
TPM_CTRL_PROBE,0.0
CTRL_INTERNAL,1.2
NA,999.9
MYC,450.3
CDK4,280.1
TP53,22.1
gene[annotation],55.0
DEPRECATED_PROBE_001,0.1
