id,descripcion,dominio,b,r2,p,n,fuente,significativo
E3_001,Afghanistan COVID-19 growth phase 2020,E3,1.2393,0.8145,0.0,60,OWID COVID-19 (JHU),True
E3_002,Albania COVID-19 growth phase 2020,E3,0.5681,0.9153,0.0,60,OWID COVID-19 (JHU),True
E3_003,Algeria COVID-19 growth phase 2020,E3,1.2758,0.9232,0.0,60,OWID COVID-19 (JHU),True
E3_004,American Samoa COVID-19 growth phase 2020,E3,1.1312,0.8761,0.0,60,OWID COVID-19 (JHU),True
E3_005,Andorra COVID-19 growth phase 2020,E3,0.5883,0.8945,0.0,60,OWID COVID-19 (JHU),True
E3_006,Angola COVID-19 growth phase 2020,E3,0.7762,0.7952,0.0,60,OWID COVID-19 (JHU),True
E3_007,Anguilla COVID-19 growth phase 2020,E3,0.0036,0.209,0.000241,60,OWID COVID-19 (JHU),True
E3_008,Antigua and Barbuda COVID-19 growth phase 2020,E3,0.0953,0.8208,0.0,60,OWID COVID-19 (JHU),True
E3_009,Argentina COVID-19 growth phase 2020,E3,1.3649,0.9277,0.0,60,OWID COVID-19 (JHU),True
E3_010,Armenia COVID-19 growth phase 2020,E3,0.9725,0.8913,0.0,60,OWID COVID-19 (JHU),True
E3_011,Aruba COVID-19 growth phase 2020,E3,0.0039,0.6894,0.0,60,OWID COVID-19 (JHU),True
E3_012,Australia COVID-19 growth phase 2020,E3,1.1501,0.8652,0.0,60,OWID COVID-19 (JHU),True
E3_013,Austria COVID-19 growth phase 2020,E3,1.1413,0.8603,0.0,60,OWID COVID-19 (JHU),True
E3_014,Azerbaijan COVID-19 growth phase 2020,E3,1.0212,0.9227,0.0,60,OWID COVID-19 (JHU),True
E3_015,Bahamas COVID-19 growth phase 2020,E3,0.1254,0.1599,0.001551,60,OWID COVID-19 (JHU),True
E3_016,Bahrain COVID-19 growth phase 2020,E3,0.9974,0.799,0.0,60,OWID COVID-19 (JHU),True
E3_017,Bangladesh COVID-19 growth phase 2020,E3,1.4945,0.9115,0.0,60,OWID COVID-19 (JHU),True
E3_018,Barbados COVID-19 growth phase 2020,E3,0.1984,0.7644,0.0,60,OWID COVID-19 (JHU),True
E3_019,Belarus COVID-19 growth phase 2020,E3,1.5232,0.9283,0.0,60,OWID COVID-19 (JHU),True
E3_020,Belgium COVID-19 growth phase 2020,E3,1.8094,0.9124,0.0,60,OWID COVID-19 (JHU),True
E3_021,Belize COVID-19 growth phase 2020,E3,0.8709,0.93,0.0,60,OWID COVID-19 (JHU),True
E3_022,Benin COVID-19 growth phase 2020,E3,0.7914,0.6805,0.0,60,OWID COVID-19 (JHU),True
E3_023,Bermuda COVID-19 growth phase 2020,E3,0.0912,0.8225,0.0,60,OWID COVID-19 (JHU),True
E3_024,Bhutan COVID-19 growth phase 2020,E3,0.3573,0.8039,0.0,60,OWID COVID-19 (JHU),True
E3_025,Bolivia COVID-19 growth phase 2020,E3,1.2984,0.8267,0.0,60,OWID COVID-19 (JHU),True
E3_026,Bonaire Sint Eustatius and Saba COVID-19 growth phase 2020,E3,0.0799,0.8142,0.0,60,OWID COVID-19 (JHU),True
E3_027,Bosnia and Herzegovina COVID-19 growth phase 2020,E3,0.9852,0.9249,0.0,60,OWID COVID-19 (JHU),True
E3_028,Botswana COVID-19 growth phase 2020,E3,0.7912,0.8977,0.0,60,OWID COVID-19 (JHU),True
E3_029,Brazil COVID-19 growth phase 2020,E3,1.7736,0.8958,0.0,60,OWID COVID-19 (JHU),True
E3_030,British Virgin Islands COVID-19 growth phase 2020,E3,0.1081,0.883,0.0,60,OWID COVID-19 (JHU),True
E3_031,Brunei COVID-19 growth phase 2020,E3,0.0487,0.8295,0.0,60,OWID COVID-19 (JHU),True
E3_032,Bulgaria COVID-19 growth phase 2020,E3,0.8191,0.8851,0.0,60,OWID COVID-19 (JHU),True
E3_033,Burkina Faso COVID-19 growth phase 2020,E3,0.4323,0.928,0.0,60,OWID COVID-19 (JHU),True
E3_034,Burundi COVID-19 growth phase 2020,E3,0.3859,0.8351,0.0,60,OWID COVID-19 (JHU),True
E3_035,Cambodia COVID-19 growth phase 2020,E3,0.0592,0.7942,0.0,60,OWID COVID-19 (JHU),True
E3_036,Cameroon COVID-19 growth phase 2020,E3,0.7181,0.8193,0.0,60,OWID COVID-19 (JHU),True
E3_037,Canada COVID-19 growth phase 2020,E3,2.0542,0.9176,0.0,60,OWID COVID-19 (JHU),True
E3_038,Cape Verde COVID-19 growth phase 2020,E3,0.5935,0.8469,0.0,60,OWID COVID-19 (JHU),True
E3_039,Cayman Islands COVID-19 growth phase 2020,E3,0.1688,0.873,0.0,60,OWID COVID-19 (JHU),True
E3_040,Central African Republic COVID-19 growth phase 2020,E3,1.1269,0.8844,0.0,60,OWID COVID-19 (JHU),True
E3_041,Chad COVID-19 growth phase 2020,E3,0.6811,0.8988,0.0,60,OWID COVID-19 (JHU),True
E3_042,Chile COVID-19 growth phase 2020,E3,1.3473,0.9118,0.0,60,OWID COVID-19 (JHU),True
E3_043,China COVID-19 growth phase 2020,E3,2.2811,0.8938,0.0,60,OWID COVID-19 (JHU),True
E3_044,Colombia COVID-19 growth phase 2020,E3,1.352,0.9088,0.0,60,OWID COVID-19 (JHU),True
E3_045,Comoros COVID-19 growth phase 2020,E3,0.3499,0.9164,0.0,60,OWID COVID-19 (JHU),True
E3_046,Congo COVID-19 growth phase 2020,E3,0.5581,0.8264,0.0,60,OWID COVID-19 (JHU),True
E3_047,Cook Islands COVID-19 growth phase 2020,E3,1.276,0.9084,0.0,60,OWID COVID-19 (JHU),True
E3_048,Costa Rica COVID-19 growth phase 2020,E3,0.665,0.9189,0.0,60,OWID COVID-19 (JHU),True
E3_049,Cote d'Ivoire COVID-19 growth phase 2020,E3,0.8581,0.91,0.0,60,OWID COVID-19 (JHU),True
E3_050,Croatia COVID-19 growth phase 2020,E3,0.8025,0.9078,0.0,60,OWID COVID-19 (JHU),True
E3_051,Cuba COVID-19 growth phase 2020,E3,0.9881,0.9154,0.0,60,OWID COVID-19 (JHU),True
E3_052,Curacao COVID-19 growth phase 2020,E3,0.686,0.8849,0.0,60,OWID COVID-19 (JHU),True
E3_053,Cyprus COVID-19 growth phase 2020,E3,0.5461,0.8944,0.0,60,OWID COVID-19 (JHU),True
E3_054,Czechia COVID-19 growth phase 2020,E3,1.2775,0.9098,0.0,60,OWID COVID-19 (JHU),True
E3_055,Democratic Republic of Congo COVID-19 growth phase 2020,E3,0.919,0.7863,0.0,60,OWID COVID-19 (JHU),True
E3_056,Denmark COVID-19 growth phase 2020,E3,0.9051,0.8783,0.0,60,OWID COVID-19 (JHU),True
E3_057,Djibouti COVID-19 growth phase 2020,E3,0.8701,0.8637,0.0,60,OWID COVID-19 (JHU),True
E3_058,Dominica COVID-19 growth phase 2020,E3,0.0931,0.6927,0.0,60,OWID COVID-19 (JHU),True
E3_059,Dominican Republic COVID-19 growth phase 2020,E3,1.0606,0.9157,0.0,60,OWID COVID-19 (JHU),True
E3_060,East Timor COVID-19 growth phase 2020,E3,0.6875,0.5846,0.0,60,OWID COVID-19 (JHU),True
