id,b,region,brecha_log,pib_hub_0,n
B001,-0.192,Europa_Occidental,0.504786482397172,7594.0,119
B002,0.1947,Europa_Occidental,-0.4675310499288447,4758.0,119
B003,0.1472,Europa_Occidental,-0.35852020609406265,5306.0,119
B004,0.0942,Europa_Occidental,-0.2444715710851539,5947.0,119
B005,0.1522,Europa_Occidental,-0.13850581235852757,6611.7783,119
B006,0.2022,Europa_Occidental,-0.5026073575427041,4594.0,119
B007,0.273,Europa_Occidental,-0.84440502470775,3264.0,119
B008,0.2569,Europa_Occidental,-1.0443850341841208,2672.3906,119
B009,-0.3425,Europa_Occidental,1.297397308126949,7594.0,119
B010,0.2628,Europa_Occidental,-0.6328951102960577,4361.0,99
B011,0.1071,Europa_Occidental,0.19018615877609907,13378.0,69
B012,0.0027,Europa_Occidental,0.03725543246832741,4758.0,119
B013,-0.0447,Europa_Occidental,0.14626627630310945,5306.0,119
B014,-0.0978,Europa_Occidental,0.26031491131201817,5947.0,119
B015,-0.0397,Europa_Occidental,0.3662806700386446,6611.7783,119
B016,0.0102,Europa_Occidental,0.0021791248544679918,4594.0,119
B017,0.0811,Europa_Occidental,-0.3396185423105779,3264.0,119
B018,0.0649,Europa_Occidental,-0.5395985517869487,2672.3906,119
B019,-0.1505,Europa_Occidental,0.7926108257297768,4584.0,119
B020,0.1149,Europa_Occidental,-0.241997034230964,4361.0,99
B021,0.0092,Europa_Occidental,0.48146085060667565,13378.0,69
B022,0.0475,Europa_Occidental,-0.10901084383478203,4758.0,119
B023,-0.1005,Europa_Occidental,0.22305947884369068,5947.0,119
B024,-0.0425,Europa_Occidental,0.32902523757031704,6611.7783,119
B025,0.0075,Europa_Occidental,-0.03507630761385947,4594.0,119
B026,-0.0783,Europa_Occidental,0.3768739747789054,4758.0,119
B027,-0.0622,Europa_Occidental,0.5768539842552761,4758.0,119
B028,-0.1478,Europa_Occidental,0.8298662581981043,4758.0,119
B029,0.0814,Europa_Occidental,-0.2877393971099983,4361.0,99
B030,-0.0651,Europa_Occidental,0.7713228924333384,13378.0,69
B031,-0.053,Europa_Occidental,0.11404863500890876,5947.0,119
B032,0.005,Europa_Occidental,0.2200143937355352,6611.7783,119
B033,0.055,Europa_Occidental,-0.14408715144864137,4594.0,119
B034,-0.1258,Europa_Occidental,0.4858848186136874,5306.0,119
B035,0.1097,Europa_Occidental,-0.6858648280900582,2672.3906,119
B036,-0.1953,Europa_Occidental,0.9388771020328863,5306.0,119
B037,0.1647,Europa_Occidental,-0.3919987047691407,4361.0,99
B038,0.0051,Europa_Occidental,0.3362330665402499,13378.0,69
B039,0.058,Europa_Occidental,0.10596575872662635,6611.7783,119
B040,0.108,Europa_Occidental,-0.25813578645755014,4594.0,119
B041,-0.1788,Europa_Occidental,0.5999334536225961,5947.0,119
B042,-0.1627,Europa_Occidental,0.7999134630989668,5947.0,119
B043,-0.2483,Europa_Occidental,1.052925737041795,5947.0,119
B044,0.1844,Europa_Occidental,-0.43342789018283934,4361.0,99
B045,0.0004,Europa_Occidental,0.4295991235661106,13378.0,69
B046,-0.05,Europa_Occidental,0.36410154518417653,6611.7783,119
B047,-0.1208,Europa_Occidental,0.7058992123492225,6611.7783,119
B048,-0.1047,Europa_Occidental,0.9058792218255932,6611.7783,119
B049,-0.1903,Europa_Occidental,1.1588914957684213,6611.7783,119
B050,0.1278,Europa_Occidental,-0.6280196302116989,4361.0,99
B051,0.0029,Europa_Occidental,0.14770244830173246,13378.0,69
B052,-0.0708,Europa_Occidental,0.34179766716504595,4594.0,119
B053,-0.0547,Europa_Occidental,0.5417776766414168,4594.0,119
B054,-0.1403,Europa_Occidental,0.794789950584245,4594.0,119
B055,0.0275,Europa_Occidental,-0.23621980205842102,4361.0,99
B056,-0.1147,Europa_Occidental,0.8174734783711182,13378.0,69
B057,-0.0162,Europa_Occidental,-0.19998000947637085,2672.3906,119
B058,-0.0694,Europa_Occidental,0.452992283419199,3264.0,119
B059,0.0005,Europa_Occidental,0.07225760463631918,4361.0,99
B060,-0.0855,Europa_Occidental,0.8740644315820859,13378.0,69
B061,-0.0856,Europa_Occidental,0.25301227394282805,2672.3906,119
B062,0.0056,Europa_Occidental,0.35320548874284247,4361.0,99
B063,-0.2223,Europa_Occidental,1.3525047826238203,13378.0,69
B064,-0.0774,Europa_Occidental,0.7835622296982229,4361.0,99
B065,-0.1991,Europa_Occidental,1.3921418925883988,13378.0,69
B066,-0.2421,Europa_Occidental,0.8881364660651737,13378.0,69
B067,0.1347,Europa_Nordica,-0.021617526241433947,3249.0,119
B068,-0.1121,Europa_Nordica,0.3705243793671284,4809.0,119
B069,0.0767,Europa_Nordica,-0.22201467066751443,2659.0,119
B070,0.0834,Europa_Nordica,-0.23433044979064777,8498.0,69
B071,0.2468,Europa_Nordica,-0.3921419056085624,3249.0,119
B072,0.058,Europa_Nordica,0.20039714442608042,3249.0,119
B073,-0.1949,Europa_Nordica,-0.0183063469355527,8498.0,69
B074,-0.1888,Europa_Nordica,0.5925390500346428,4809.0,119
B075,0.0556,Europa_Nordica,-0.2641368655900285,8498.0,69
B076,-0.0412,Europa_Nordica,0.22600124324379134,8498.0,69
B077,0.0201,Europa_Este,0.21466337756144302,8748.0,49
B078,-0.0428,Europa_Este,-0.0070619137564611745,2681.0,85
B079,0.4294,Europa_Este,-0.6519194372557512,1406.8207,85
B080,0.0645,Europa_Este,-0.3965958703673846,1812.0,83
