id,region,brecha_1a_mitad,b_2a_mitad,b_completo
B001,Europa_Occidental,0.43746553631612123,-0.041516836151172666,-0.192
B002,Europa_Occidental,-0.4063963954825932,0.0742517290426003,0.1947
B003,Europa_Occidental,-0.1965029575190881,0.0705912268671115,0.1472
B004,Europa_Occidental,-0.2282213050065265,0.07871878608223287,0.0942
B005,Europa_Occidental,-0.007073463778099676,0.06583997614519711,0.1522
B006,Europa_Occidental,-0.5433258038801128,0.13182850692375145,0.2022
B007,Europa_Occidental,-0.7067888945938142,0.09754985836922209,0.273
B008,Europa_Occidental,-0.988799061501033,0.2623279405579708,0.2569
B009,Europa_Occidental,1.2954487626833022,-0.23233541688775616,-0.3425
B010,Europa_Occidental,-0.6924560756578378,0.33484332732542793,0.2628
B011,Europa_Occidental,0.16342911388871517,0.06305813036355719,0.1071
B012,Europa_Occidental,0.0289499615597828,0.03273489289142761,0.0027
B013,Europa_Occidental,0.19446854720602083,0.029074390715938824,-0.0447
B014,Europa_Occidental,0.1778494156401191,0.0372019499310602,-0.0978
B015,Europa_Occidental,0.4035806198006644,0.02432313999402443,-0.0397
B016,Europa_Occidental,-0.12627840453208186,0.09031167077257872,0.0102
B017,Europa_Occidental,-0.30611062573431524,0.05603302221804937,0.0811
B018,Europa_Occidental,-0.5751695782714298,0.22081110440679808,0.0649
B019,Europa_Occidental,0.8907339565884423,-0.19081858073658348,-0.1505
B020,Europa_Occidental,-0.3652110493270761,0.3604512587958921,0.1149
B021,Europa_Occidental,0.211847896774735,0.09328641195936392,0.0092
B022,Europa_Occidental,-0.16288255859902515,0.0036605021754887767,0.0475
B023,Europa_Occidental,0.20507474793794941,0.004467057039632571,-0.1005
B024,Europa_Occidental,0.4313766010156548,-0.008411752897403185,-0.0425
B025,Europa_Occidental,-0.1294523953064338,0.057576777881151106,0.0075
B026,Europa_Occidental,0.32593526559098285,-0.02329812932662181,-0.0783
B027,Europa_Occidental,0.6090280406840822,-0.18807621151537038,-0.0622
B028,Europa_Occidental,0.887570614225246,-0.15808368784515575,-0.1478
B029,Europa_Occidental,-0.33636841045200244,0.2950040118091196,0.0814
B030,Europa_Occidental,0.27957484808041205,0.01813537574206043,-0.0651
B031,Europa_Occidental,-0.013011776815398127,0.008127559215121363,-0.053
B032,Europa_Occidental,0.21390128469581957,-0.004751250721914385,0.005
B033,Europa_Occidental,-0.3193262214647133,0.06123728005663991,0.055
B034,Europa_Occidental,0.5073242643608699,-0.02695863150211055,-0.1258
B035,Europa_Occidental,-0.7688449013801641,0.1917367136908592,0.1097
B036,Europa_Occidental,1.0839431910940296,-0.1617441900206448,-0.1953
B037,Europa_Occidental,-0.530250158202318,0.3047772693177662,0.1647
B038,Europa_Occidental,0.14830539529921888,0.0013223858524612623,0.0051
B039,Europa_Occidental,0.2290543211958649,-0.012878809937035756,0.058
B040,Europa_Occidental,-0.30697420859258967,0.05310972084151854,0.108
B041,Europa_Occidental,0.4895937100987876,-0.018831072286989218,-0.1788
B042,Europa_Occidental,0.7700695326642694,-0.18360915447573797,-0.1627
B043,Europa_Occidental,1.057201765825825,-0.15361663080552335,-0.2483
B044,Europa_Occidental,-0.4774946145905125,0.32163915283653105,0.1844
B045,Europa_Occidental,0.2503222780741403,0.06089114843247552,0.0004
B046,Europa_Occidental,0.5715861826116277,-0.06598853077855435,-0.05
B047,Europa_Occidental,0.7130743253556234,-0.031709882224025036,-0.1208
B048,Europa_Occidental,0.9974270821568968,-0.1964879644127737,-0.1047
B049,Europa_Occidental,1.2778504477010943,-0.1664954407425592,-0.1903
B050,Europa_Occidental,-0.7446428425542594,0.2881238103933058,0.1278
B051,Europa_Occidental,-0.05123311791394262,-0.019537582095871257,0.0029
B052,Europa_Occidental,0.17330480607171458,0.03427864855452933,-0.0708
B053,Europa_Occidental,0.45983109738518857,-0.13049943363421937,-0.0547
B054,Europa_Occidental,0.7487442275523241,-0.10050690996400484,-0.1403
B055,Europa_Occidental,-0.15396739644625332,0.2691052667645601,0.0275
B056,Europa_Occidental,0.38240842852066453,0.026039487130355695,-0.1147
B057,Europa_Occidental,-0.26798417380625394,0.16477808218874873,-0.0162
