id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo,rho_ar1,n_eff,se_infl,estimable,p_ar1,sig_ar1,sig_ar1_solo_gl,corregible
B001,United Kingdom→France 1900-2018,B,Europa_Occidental,United Kingdom,France,gradual,-0.192,0.4206,-0.6485,0.0,0.0208,-0.2328,-0.1511,0.145,119,1900,2018,True,0.9275,4.48,5.156,True,0.19044071118925304,False,True,True
B002,Germany→United Kingdom 1900-2018,B,Europa_Occidental,Germany,United Kingdom,gradual,0.1947,0.4465,0.6682,0.0,0.02,0.1554,0.234,0.178,119,1900,2018,True,0.911,5.54,4.634,True,0.11248557895896111,False,True,True
B003,Netherlands→United Kingdom 1900-2018,B,Europa_Occidental,Netherlands,United Kingdom,gradual,0.1472,0.3536,0.5946,0.0,0.0184,0.1112,0.1833,0.191,119,1900,2018,True,0.9045,5.97,4.466,True,0.1482961504668068,False,True,True
B004,Belgium→United Kingdom 1900-2018,B,Europa_Occidental,Belgium,United Kingdom,gradual,0.0942,0.2495,0.4995,0.0,0.0151,0.0646,0.1238,0.144,119,1900,2018,True,0.928,4.44,5.175,True,0.33167415495975133,False,True,True
B005,Switzerland→United Kingdom 1900-2018,B,Europa_Occidental,Switzerland,United Kingdom,gradual,0.1522,0.5219,0.7224,0.0,0.0135,0.1258,0.1786,0.139,119,1900,2018,True,0.9305,4.28,5.27,True,0.14977194936568233,False,True,True
B006,Austria→United Kingdom 1900-2018,B,Europa_Occidental,Austria,United Kingdom,gradual,0.2022,0.3235,0.5688,0.0,0.027,0.1492,0.2552,0.123,119,1900,2018,True,0.9385,3.78,5.614,True,0.32771996959171584,False,True,True
B007,Italy→United Kingdom 1900-2018,B,Europa_Occidental,Italy,United Kingdom,gradual,0.273,0.5061,0.7114,0.0,0.0249,0.2242,0.3219,0.059,119,1900,2018,True,0.9705,1.78,8.173,False,,False,False,True
B008,Spain→United Kingdom 1900-2018,B,Europa_Occidental,Spain,United Kingdom,gradual,0.2569,0.41,0.6403,0.0,0.0285,0.201,0.3127,0.038,119,1900,2018,True,0.981,1.14,10.211,False,,False,False,True
B009,United Kingdom→Portugal 1900-2018,B,Europa_Occidental,United Kingdom,Portugal,gradual,-0.3425,0.571,-0.7557,0.0,0.0274,-0.3963,-0.2887,0.043,119,1900,2018,True,0.9785,1.29,9.593,False,,False,False,True
B010,Ireland→United Kingdom 1913-2018,B,Europa_Occidental,Ireland,United Kingdom,gradual,0.2628,0.3606,0.6005,0.0,0.0355,0.1931,0.3324,0.019,99,1913,2018,True,0.9905,0.47,14.475,False,,False,False,True
B011,Luxembourg→United Kingdom 1950-2018,B,Europa_Occidental,Luxembourg,United Kingdom,gradual,0.1071,0.6066,0.7788,0.0,0.0105,0.0864,0.1278,0.202,69,1950,2018,True,0.899,3.67,4.336,True,0.16736262913687425,False,True,True
B012,Germany→France 1900-2018,B,Europa_Occidental,Germany,France,gradual,0.0027,0.0002,0.0128,0.8897,0.0196,-0.0357,0.0411,0.415,119,1900,2018,False,0.7925,13.78,2.939,True,0.9634030066655884,False,False,True
B013,Netherlands→France 1900-2018,B,Europa_Occidental,Netherlands,France,gradual,-0.0447,0.1924,-0.4386,0.0,0.0085,-0.0613,-0.0281,0.288,119,1900,2018,True,0.856,9.23,3.59,True,0.18504223851906942,False,True,True
B014,Belgium→France 1900-2018,B,Europa_Occidental,Belgium,France,gradual,-0.0978,0.5046,-0.7103,0.0,0.009,-0.1153,-0.0802,0.298,119,1900,2018,True,0.851,9.58,3.525,True,0.016072361175791645,True,True,True
B015,Switzerland→France 1900-2018,B,Europa_Occidental,Switzerland,France,gradual,-0.0397,0.0805,-0.2837,0.0018,0.0124,-0.0641,-0.0154,0.186,119,1900,2018,True,0.907,5.8,4.528,True,0.5204542370914488,False,True,True
B016,Austria→France 1900-2018,B,Europa_Occidental,Austria,France,gradual,0.0102,0.0027,0.0521,0.5734,0.0182,-0.0253,0.0458,0.354,119,1900,2018,False,0.823,11.55,3.209,True,0.8650142802618523,False,False,True
B017,Italy→France 1900-2018,B,Europa_Occidental,Italy,France,gradual,0.0811,0.3201,0.5658,0.0,0.0109,0.0597,0.1025,0.237,119,1900,2018,True,0.8815,7.49,3.985,True,0.1155896233569495,False,True,True
B018,Spain→France 1900-2018,B,Europa_Occidental,Spain,France,gradual,0.0649,0.0768,0.2771,0.0023,0.0208,0.0241,0.1057,0.142,119,1900,2018,True,0.929,4.38,5.212,True,0.6015107276442584,False,False,True
B019,France→Portugal 1900-2018,B,Europa_Occidental,France,Portugal,gradual,-0.1505,0.3478,-0.5897,0.0,0.0191,-0.1879,-0.1132,0.141,119,1900,2018,True,0.9295,4.35,5.232,True,0.25290776050932773,False,True,True
B020,Ireland→France 1913-2018,B,Europa_Occidental,Ireland,France,gradual,0.1149,0.0985,0.3139,0.0016,0.0353,0.0458,0.1841,0.046,99,1913,2018,True,0.977,1.15,9.271,False,,False,False,True
B021,Luxembourg→France 1950-2018,B,Europa_Occidental,Luxembourg,France,gradual,0.0092,0.0042,0.0649,0.5962,0.0172,-0.0245,0.0429,0.06,69,1950,2018,False,0.97,1.05,8.103,False,,False,False,True
B022,Germany→Netherlands 1900-2018,B,Europa_Occidental,Germany,Netherlands,gradual,0.0475,0.0477,0.2184,0.017,0.0196,0.009,0.0859,0.467,119,1900,2018,True,0.7665,15.73,2.751,True,0.39342801422842466,False,True,True
B023,Belgium→Germany 1900-2018,B,Europa_Occidental,Belgium,Germany,gradual,-0.1005,0.2433,-0.4933,0.0,0.0164,-0.1326,-0.0684,0.352,119,1900,2018,True,0.824,11.48,3.219,True,0.08771821917162456,False,True,True
B024,Switzerland→Germany 1900-2018,B,Europa_Occidental,Switzerland,Germany,gradual,-0.0425,0.054,-0.2323,0.011,0.0164,-0.0747,-0.0102,0.412,119,1900,2018,True,0.794,13.66,2.951,True,0.3975915339891294,False,True,True
B025,Austria→Germany 1900-2018,B,Europa_Occidental,Austria,Germany,gradual,0.0075,0.0028,0.0526,0.5702,0.0132,-0.0184,0.0334,0.548,119,1900,2018,False,0.726,18.89,2.51,True,0.8236210522943442,False,False,True
B026,Germany→Italy 1900-2018,B,Europa_Occidental,Germany,Italy,gradual,-0.0783,0.1463,-0.3825,0.0,0.0175,-0.1126,-0.0441,0.388,119,1900,2018,True,0.806,12.78,3.051,True,0.17107470678038644,False,True,True
B027,Germany→Spain 1900-2018,B,Europa_Occidental,Germany,Spain,gradual,-0.0622,0.0673,-0.2593,0.0044,0.0214,-0.1042,-0.0202,0.202,119,1900,2018,True,0.899,6.33,4.336,True,0.5367325668463907,False,True,True
B028,Germany→Portugal 1900-2018,B,Europa_Occidental,Germany,Portugal,gradual,-0.1478,0.3209,-0.5665,0.0,0.0199,-0.1868,-0.1088,0.24,119,1900,2018,True,0.88,7.6,3.958,True,0.11321907071127371,False,True,True
B029,Ireland→Germany 1913-2018,B,Europa_Occidental,Ireland,Germany,gradual,0.0814,0.0611,0.2473,0.0136,0.0324,0.0179,0.1448,0.105,99,1913,2018,True,0.9475,2.67,6.091,False,,False,False,True
B030,Luxembourg→Germany 1950-2018,B,Europa_Occidental,Luxembourg,Germany,gradual,-0.0651,0.2096,-0.4578,0.0001,0.0155,-0.0954,-0.0348,0.074,69,1950,2018,True,0.963,1.3,7.284,False,,False,False,True
B031,Belgium→Netherlands 1900-2018,B,Europa_Occidental,Belgium,Netherlands,gradual,-0.053,0.2408,-0.4907,0.0,0.0087,-0.0701,-0.036,0.557,119,1900,2018,True,0.7215,19.25,2.486,True,0.025222461680527636,True,True,True
B032,Switzerland→Netherlands 1900-2018,B,Europa_Occidental,Switzerland,Netherlands,gradual,0.005,0.002,0.0444,0.6319,0.0104,-0.0154,0.0254,0.429,119,1900,2018,False,0.7855,14.3,2.885,True,0.8703649142441472,False,False,True
B033,Austria→Netherlands 1900-2018,B,Europa_Occidental,Austria,Netherlands,gradual,0.055,0.0643,0.2535,0.0054,0.0194,0.017,0.093,0.32,119,1900,2018,True,0.84,10.35,3.391,True,0.426429363907737,False,True,True
B034,Netherlands→Italy 1900-2018,B,Europa_Occidental,Netherlands,Italy,gradual,-0.1258,0.3945,-0.6281,0.0,0.0144,-0.1541,-0.0976,0.129,119,1900,2018,True,0.9355,3.97,5.478,True,0.25393054969956463,False,True,True
B035,Spain→Netherlands 1900-2018,B,Europa_Occidental,Spain,Netherlands,gradual,0.1097,0.1988,0.4459,0.0,0.0203,0.0698,0.1495,0.176,119,1900,2018,True,0.912,5.48,4.661,True,0.31969463970219636,False,True,True
