region,n,b_mean,b_median,pct_sig,r2_mean
Oceania,1,-0.11,-0.11,100.0,0.402
Sudamerica,45,-0.051,-0.06,84.0,0.391
Europa_Este,21,-0.035,-0.018,90.0,0.429
Europa_Sur,7,-0.021,-0.013,57.0,0.059
Europa_Occidental,55,-0.007,-0.016,86.0,0.241
Norteamerica,3,0.009,0.013,67.0,0.354
Europa_Nordica,6,0.036,0.067,100.0,0.382
Centroamerica,15,0.076,0.11,93.0,0.393
Asia_Sur,10,0.116,0.157,90.0,0.371
Medio_Oriente,15,0.118,0.145,73.0,0.224
Africa_Norte,10,0.165,0.18,100.0,0.47
Asia_Oriental,10,0.177,0.146,70.0,0.254
Africa_Sub,45,0.258,0.16,84.0,0.409
Asia_Sudeste,15,0.259,0.327,93.0,0.493
