id,descripcion,dominio,b,r2,p,n,significativo,fuente_real
B001,United Kingdom→France 1900-2018,B,-0.192,0.4206,0.0,119,True,True
B002,Germany→United Kingdom 1900-2018,B,0.1947,0.4465,0.0,119,True,True
B003,Netherlands→United Kingdom 1900-2018,B,0.1472,0.3536,0.0,119,True,True
B004,Belgium→United Kingdom 1900-2018,B,0.0942,0.2495,0.0,119,True,True
B005,Switzerland→United Kingdom 1900-2018,B,0.1522,0.5219,0.0,119,True,True
B006,Austria→United Kingdom 1900-2018,B,0.2022,0.3235,0.0,119,True,True
B007,Italy→United Kingdom 1900-2018,B,0.273,0.5061,0.0,119,True,True
B008,Spain→United Kingdom 1900-2018,B,0.2569,0.41,0.0,119,True,True
B009,United Kingdom→Portugal 1900-2018,B,-0.3425,0.571,0.0,119,True,True
B010,Ireland→United Kingdom 1913-2018,B,0.2628,0.3606,0.0,99,True,True
B011,Germany→France 1900-2018,B,0.0027,0.0002,0.8897,119,False,True
B012,Netherlands→France 1900-2018,B,-0.0447,0.1924,0.0,119,True,True
B013,Belgium→France 1900-2018,B,-0.0978,0.5046,0.0,119,True,True
B014,Switzerland→France 1900-2018,B,-0.0397,0.0805,0.0018,119,True,True
B015,Austria→France 1900-2018,B,0.0102,0.0027,0.5734,119,False,True
B016,Italy→France 1900-2018,B,0.0811,0.3201,0.0,119,True,True
B017,Spain→France 1900-2018,B,0.0649,0.0768,0.0023,119,True,True
B018,France→Portugal 1900-2018,B,-0.1505,0.3478,0.0,119,True,True
B019,Ireland→France 1913-2018,B,0.1149,0.0985,0.0016,99,True,True
B020,Germany→Netherlands 1900-2018,B,0.0475,0.0477,0.017,119,True,True
B021,Belgium→Germany 1900-2018,B,-0.1005,0.2433,0.0,119,True,True
B022,Switzerland→Germany 1900-2018,B,-0.0425,0.054,0.011,119,True,True
B023,Austria→Germany 1900-2018,B,0.0075,0.0028,0.5702,119,False,True
B024,Germany→Italy 1900-2018,B,-0.0783,0.1463,0.0,119,True,True
B025,Germany→Spain 1900-2018,B,-0.0622,0.0673,0.0044,119,True,True
B026,Germany→Portugal 1900-2018,B,-0.1478,0.3209,0.0,119,True,True
B027,Ireland→Germany 1913-2018,B,0.0814,0.0611,0.0136,99,True,True
B028,Belgium→Netherlands 1900-2018,B,-0.053,0.2408,0.0,119,True,True
B029,Switzerland→Netherlands 1900-2018,B,0.005,0.002,0.6319,119,False,True
B030,Austria→Netherlands 1900-2018,B,0.055,0.0643,0.0054,119,True,True
B031,Netherlands→Italy 1900-2018,B,-0.1258,0.3945,0.0,119,True,True
B032,Spain→Netherlands 1900-2018,B,0.1097,0.1988,0.0,119,True,True
B033,Netherlands→Portugal 1900-2018,B,-0.1953,0.4279,0.0,119,True,True
B034,Ireland→Netherlands 1913-2018,B,0.1647,0.2446,0.0,99,True,True
B035,Switzerland→Belgium 1900-2018,B,0.058,0.2874,0.0,119,True,True
B036,Austria→Belgium 1900-2018,B,0.108,0.2331,0.0,119,True,True
B037,Belgium→Italy 1900-2018,B,-0.1788,0.571,0.0,119,True,True
B038,Belgium→Spain 1900-2018,B,-0.1627,0.4049,0.0,119,True,True
B039,Belgium→Portugal 1900-2018,B,-0.2483,0.6276,0.0,119,True,True
B040,Ireland→Belgium 1913-2018,B,0.1844,0.2875,0.0,99,True,True
B041,Switzerland→Austria 1900-2018,B,-0.05,0.0539,0.0111,119,True,True
B042,Switzerland→Italy 1900-2018,B,-0.1208,0.3168,0.0,119,True,True
B043,Switzerland→Spain 1900-2018,B,-0.1047,0.1879,0.0,119,True,True
B044,Switzerland→Portugal 1900-2018,B,-0.1903,0.4494,0.0,119,True,True
B045,Ireland→Switzerland 1913-2018,B,0.1278,0.1709,0.0,99,True,True
B046,Austria→Italy 1900-2018,B,-0.0708,0.2385,0.0,119,True,True
B047,Austria→Spain 1900-2018,B,-0.0547,0.0877,0.0011,119,True,True
B048,Austria→Portugal 1900-2018,B,-0.1403,0.4199,0.0,119,True,True
B049,Ireland→Austria 1913-2018,B,0.0275,0.0083,0.3688,99,False,True
B050,Spain→Italy 1900-2018,B,-0.0162,0.0085,0.3175,119,False,True
B051,Italy→Portugal 1900-2018,B,-0.0694,0.184,0.0,119,True,True
B052,Ireland→Italy 1913-2018,B,0.0005,0.0,0.9871,99,False,True
B053,Spain→Portugal 1900-2018,B,-0.0856,0.3356,0.0,119,True,True
B054,Ireland→Spain 1913-2018,B,0.0056,0.0006,0.804,99,False,True
B055,Ireland→Portugal 1913-2018,B,-0.0774,0.0882,0.0028,99,True,True
B056,Norway→Sweden 1900-2018,B,0.1347,0.1932,0.0,119,True,True
B057,Denmark→Sweden 1900-2018,B,-0.1121,0.6459,0.0,119,True,True
B058,Finland→Sweden 1900-2018,B,0.0767,0.2321,0.0,119,True,True
B059,Norway→Denmark 1900-2018,B,0.2468,0.4972,0.0,119,True,True
B060,Norway→Finland 1900-2018,B,0.058,0.0686,0.004,119,True,True
