id,dominio,t,R,t_unidad
F01_Lehman_2008,F,0.0,0.0,meses
F01_Lehman_2008,F,1.0,0.33,meses
F01_Lehman_2008,F,3.0,0.52,meses
F01_Lehman_2008,F,6.0,0.68,meses
F01_Lehman_2008,F,12.0,0.78,meses
F01_Lehman_2008,F,24.0,0.85,meses
F01_Lehman_2008,F,36.0,0.89,meses
F01_Lehman_2008,F,60.0,0.93,meses
F02_BearStearns_2008,F,0.0,0.0,meses
F02_BearStearns_2008,F,0.5,0.85,meses
F02_BearStearns_2008,F,1.0,0.92,meses
F02_BearStearns_2008,F,3.0,0.96,meses
F02_BearStearns_2008,F,6.0,0.98,meses
F02_BearStearns_2008,F,12.0,1.0,meses
F02_BearStearns_2008,F,24.0,1.02,meses
F03_WashingtonMutual_2008,F,0.0,0.0,meses
F03_WashingtonMutual_2008,F,0.03,0.95,meses
F03_WashingtonMutual_2008,F,1.0,0.97,meses
F03_WashingtonMutual_2008,F,3.0,0.98,meses
F03_WashingtonMutual_2008,F,6.0,0.99,meses
F03_WashingtonMutual_2008,F,12.0,1.0,meses
F03_WashingtonMutual_2008,F,24.0,1.01,meses
F04_Wachovia_2008,F,0.0,0.0,meses
F04_Wachovia_2008,F,1.0,0.6,meses
F04_Wachovia_2008,F,3.0,0.82,meses
F04_Wachovia_2008,F,6.0,0.91,meses
F04_Wachovia_2008,F,12.0,0.96,meses
F04_Wachovia_2008,F,18.0,0.98,meses
F04_Wachovia_2008,F,24.0,1.0,meses
F05_MerrillLynch_2008,F,0.0,0.0,meses
F05_MerrillLynch_2008,F,1.0,0.45,meses
F05_MerrillLynch_2008,F,4.0,0.72,meses
F05_MerrillLynch_2008,F,6.0,0.85,meses
F05_MerrillLynch_2008,F,12.0,0.93,meses
F05_MerrillLynch_2008,F,24.0,0.97,meses
F05_MerrillLynch_2008,F,36.0,0.99,meses
F06_Chrysler_2009,F,0.0,0.0,meses
F06_Chrysler_2009,F,1.0,0.58,meses
F06_Chrysler_2009,F,6.0,0.74,meses
F06_Chrysler_2009,F,12.0,0.85,meses
F06_Chrysler_2009,F,24.0,0.91,meses
F06_Chrysler_2009,F,36.0,0.95,meses
F06_Chrysler_2009,F,48.0,0.98,meses
T01_Nokia_2013,T,0.0,0.08,años
T01_Nokia_2013,T,1.0,0.15,años
T01_Nokia_2013,T,2.0,0.28,años
T01_Nokia_2013,T,3.0,0.52,años
T01_Nokia_2013,T,4.0,0.95,años
T01_Nokia_2013,T,5.0,1.48,años
T01_Nokia_2013,T,6.0,2.31,años
T01_Nokia_2013,T,7.0,3.85,años
T01_Nokia_2013,T,9.0,8.2,años
T02_Compaq_2002,T,0.0,0.72,años
T02_Compaq_2002,T,1.0,0.88,años
T02_Compaq_2002,T,2.0,1.0,años
T02_Compaq_2002,T,4.0,1.12,años
T02_Compaq_2002,T,6.0,1.18,años
T02_Compaq_2002,T,8.0,1.22,años
T02_Compaq_2002,T,10.0,1.25,años
T03_SunMicrosystems_2010,T,0.0,0.25,años
T03_SunMicrosystems_2010,T,1.0,0.65,años
T03_SunMicrosystems_2010,T,2.0,0.82,años
T03_SunMicrosystems_2010,T,3.0,0.9,años
T03_SunMicrosystems_2010,T,5.0,0.95,años
T03_SunMicrosystems_2010,T,7.0,0.98,años
T04_MySpace_2011,T,0.0,0.12,años
T04_MySpace_2011,T,1.0,0.35,años
T04_MySpace_2011,T,2.0,0.85,años
T04_MySpace_2011,T,3.0,2.4,años
T04_MySpace_2011,T,4.0,5.8,años
T04_MySpace_2011,T,5.0,12.0,años
H01_URSS_1991,H,-6.0,0.95,años
H01_URSS_1991,H,-3.0,0.97,años
H01_URSS_1991,H,0.0,1.0,años
H01_URSS_1991,H,2.0,0.58,años
H01_URSS_1991,H,5.0,0.48,años
H01_URSS_1991,H,10.0,0.72,años
H01_URSS_1991,H,15.0,1.05,años
H01_URSS_1991,H,19.0,1.18,años
H02_Roma_476,H,0.0,0.85,decadas
H02_Roma_476,H,1.0,0.9,decadas
H02_Roma_476,H,2.0,0.95,decadas
H02_Roma_476,H,3.0,1.02,decadas
H02_Roma_476,H,4.0,1.15,decadas
H02_Roma_476,H,5.0,1.28,decadas
H02_Roma_476,H,6.0,1.45,decadas
H02_Roma_476,H,8.0,1.82,decadas
H02_Roma_476,H,10.0,2.4,decadas
H02_Roma_476,H,22.0,3.2,decadas
