id,descripcion,dominio,hub,absorbente,trigger_año,tipo_trigger,t_unidad,b,r2,p,n,significativo,estimado,fuente,significancia
F01_Lehman_2008,Lehman Brothers → Barclays + JPMorgan,F,Lehman Brothers,Barclays + JPMorgan Chase,2008,abrupto,meses,0.246,0.8919,0.000647,7,True,False,"Valukas A.R. (2010). Lehman Brothers Examiner Report. SDNY Bankruptcy Court; Federal Reserve Flow of Funds 2008-2013; SEC EDGAR Barclays, JPMorgan 10-K 2008-2009",***
F02_BearStearns_2008,Bear Stearns → JPMorgan Chase,F,Bear Stearns,JPMorgan Chase,2008,abrupto,meses,0.0433,0.9255,0.002339,6,True,False,Federal Reserve Bank of New York (2008). Bear Stearns Transaction; SEC Form 8-K JPMorgan Chase March 2008; Sorkin A.R. (2009). Too Big To Fail. Viking Press,**
F03_WashingtonMutual_2008,Washington Mutual → JPMorgan Chase (FDIC),F,Washington Mutual,JPMorgan Chase,2008,abrupto,meses,0.0089,0.9459,0.001108,6,True,False,FDIC (2008). Washington Mutual Bank Failure and Acquisition. FDIC Press Release Sep 25 2008; JPMorgan Chase Form 8-K Sep 2008; FDIC Failed Bank List,**
F04_Wachovia_2008,Wachovia → Wells Fargo,F,Wachovia,Wells Fargo,2008,abrupto,meses,0.1527,0.8924,0.003783,6,True,False,SEC Form 8-K Wells Fargo Oct 2008; FDIC Statement Oct 3 2008; Wessel D. (2009). In Fed We Trust. Crown Business,**
F05_MerrillLynch_2008,Merrill Lynch → Bank of America,F,Merrill Lynch,Bank of America,2008,abrupto,meses,0.2165,0.8456,0.004995,6,True,False,SEC Form S-4 Bank of America Dec 2008 (Merrill Lynch merger proxy); BofA 10-K 2009; Lewis K. testimony to FCIC (2010),**
F06_Chrysler_2009,Chrysler → Fiat + US Government,F,Chrysler LLC,Fiat SpA + USGOV (TARP),2009,abrupto,meses,0.1376,0.99,2.4e-05,6,True,False,SIGTARP (2012). Chrysler Bailout Report; Chrysler Group LLC 10-K 2010; US Treasury TARP Tracker; Rattner S. (2010). Overhaul. Houghton Mifflin,***
T01_Nokia_2013,Nokia (moviles) → Microsoft,T,Nokia (division dispositivos),Microsoft + ecosistema Apple/Android,2007,abrupto,años,1.8136,0.8187,4.4e-05,8,True,False,IDC Worldwide Quarterly Mobile Phone Tracker Q4 2007-2016; Gartner Mobile Phone Sales 2007-2016; Microsoft Form 10-K 2014 ($7.2B Nokia acquisition),***
T02_Compaq_2002,Compaq → Hewlett-Packard,T,Compaq Computer Corporation,Hewlett-Packard,2001,gradual,años,0.1525,0.9909,2.7e-05,6,True,False,HP Form S-4 Sep 2001 (Compaq merger proxy); IDC PC Market Share Q1 2002-2006; SEC EDGAR HP 10-K 2002-2004,***
T03_SunMicrosystems_2010,Sun Microsystems → Oracle,T,Sun Microsystems,Oracle Corporation,2009,gradual,años,0.2075,0.9187,0.008769,5,True,False,Oracle Form 8-K Jan 2010 (Sun acquisition); SEC EDGAR Oracle 10-K 2010-2014; IDC Server Market Share 2009-2014,**
T04_MySpace_2011,MySpace → Facebook,T,MySpace (News Corp),Facebook,2008,gradual,años,2.1947,0.9057,0.003487,5,True,False,Comscore Media Metrix 2006-2012 (US unique visitors); News Corp 10-K 2008-2011 (MySpace write-down $545M); Carlson N. (2011). Business Insider,**
H01_URSS_1991,URSS → Rusia (hub vestigial heredero),H,URSS,Rusia,1991,abrupto,años,0.3487,0.7727,0.080497,5,False,False,Bolt J. & van Zanden J.L. (2024). Maddison Project Database 2023; World Bank WDI GDP per capita PPP (constant 2017 USD),n.s.
H02_Roma_476,Imperio Romano Occidental → Bizancio,H,Imperio Romano Occidental,Bizancio,378,gradual,decadas,0.4529,0.9157,0.000131,9,True,True,Bolt & van Zanden (2024) Maddison Project Database 2023 (*estimado Italia/Grecia); Ward-Perkins B. (2005). The Fall of Rome. Oxford UP; Wickham C. (2005). Framing the Early Middle Ages. Oxford UP,***
H03_Azteca_1521,Imperio Azteca → Corona de Castilla,H,Triple Alianza / Imperio Mexica,Corona de Castilla,1519,abrupto,decadas,0.6926,0.9917,2e-06,7,True,True,Bakewell P. (1984). Miners of the Red Mountain. UNM Press; Bolt & van Zanden (2024) Maddison Project (*estimado); Gibson C. (1964). The Aztecs Under Spanish Rule. Stanford UP,***
H04_Cartago_146AC,Cartago → Republica Romana,H,Republica de Cartago,Republica Romana,-149,abrupto,decadas,0.3357,0.9928,1.2e-05,6,True,True,Bolt & van Zanden (2024) Maddison Project (*estimado Italia/Norte Africa); Lazenby J.F. (1996). The First Punic War. Stanford UP; Hoyos D. (2010). The Carthaginians. Routledge,***
I01_PanAm_1991,Pan Am → Delta + United,I,Pan American World Airways,Delta Air Lines + United Airlines,1991,gradual,años,0.3624,0.8353,0.020057,5,True,False,Delta Air Lines Annual Report 1992; US DOT Air Carrier Financial Reports; Petzinger T. (1995). Hard Landing. Crown Business; SEC EDGAR Delta 10-K 1992,*
I02_Polaroid_2001,Polaroid → One Equity Partners (JP Morgan),I,Polaroid Corporation,One Equity Partners / Petters Group,2001,gradual,años,0.4123,0.9343,0.006576,5,True,True,SEC EDGAR Polaroid Corp Chapter 11 filing 2001; US Bankruptcy Court District of Delaware; Sandvig C. (2009). Polaroid's Collapse. Michigan Case,**
I03_Kodak_2012,Kodak (film) → Patent consortium,I,Eastman Kodak (film division),Apple + Google + Samsung + Microsoft,2000,gradual,años,1.2438,0.9708,0.000127,6,True,False,SEC EDGAR Eastman Kodak 10-K 2000-2013; IDC Digital Camera Market Share 2000-2015; Kodak Chapter 11 Reorganization Plan 2013,***
I04_Blockbuster_2010,Blockbuster → Dish Network (activos fisicos),I,Blockbuster Inc.,Dish Network,2004,gradual,años,1.8059,0.9543,0.000899,5,True,False,Dish Network Form 8-K Apr 2011 ($320M Blockbuster acquisition); SEC EDGAR Blockbuster Chapter 11 2010; Keating G. (2012). Netflixed. Portfolio/Penguin,***
