,delta_H,alpha,F,ASI_raw,ASI,soberania,CSI_V3,cohort
user_0000,0.8592829319211993,0.649968292033189,0.3845306264558419,1.4524373904408099,0.550055,False,55.885689884869734,Elite
user_0001,0.8358063516339028,0.7129486337304394,0.07492794765559636,7.952800191453094,3.011819,True,71.6827474095556,Elite
user_0002,0.8184479981049275,0.7420290014552285,0.2779324310444198,2.185107180528235,0.827526,False,66.31998748942414,Elite
user_0003,0.7227622077813562,0.6016599090869998,0.20200229774941297,2.152733157346047,0.815265,False,68.0343441903093,Elite
user_0004,0.9748123357124425,0.6982423724951081,0.16353656883963658,4.162098317550015,1.576236,True,59.01878259896654,Elite
user_0005,0.7113447536670496,0.7053883712627543,0.1292272890209861,3.882882021258055,1.470493,True,66.16268953687788,Elite
user_0006,0.899685405502124,0.641132833634201,0.33080680890883607,1.7436698334944845,0.660348,False,65.61273780689072,Elite
user_0007,0.7752151634295227,0.6491741414314064,0.07498476776201822,6.711358228662503,2.541671,True,67.39261894512995,Elite
user_0008,0.8228526016271813,0.7427585129256962,0.13436537719421657,4.548647780433964,1.722627,True,71.94840102535716,Elite
user_0009,0.9225904973370632,0.5196553294470041,0.24979700681429937,1.9192746740747677,0.726852,False,70.29076921150131,Elite
user_0010,0.9500406714173909,0.42984663802591516,0.16946733690915,2.409737451740174,0.912596,False,65.937488181327,Elite
user_0011,0.7015380446222386,0.6596309228126184,0.303759821276298,1.5234279037233398,0.57694,False,72.86806174677416,Elite
user_0012,0.8391172299354369,0.7111089745757381,0.09641618852893848,6.188834074779122,2.343785,True,62.16836696419571,Elite
user_0013,0.8490020020142511,0.9188544647099669,0.2716898226496414,2.8713231599568885,1.087404,True,64.85101640147396,Elite
user_0014,0.6526927096535022,0.7056468357977017,0.2514719615396876,1.8314985992684283,0.69361,False,67.98868007302957,Elite
user_0015,0.8759963570939517,0.5509360175625836,0.21890416771256266,2.204699661133842,0.834946,False,63.81533379336169,Elite
user_0016,0.6965938832700946,0.4286342396821368,0.101568963407261,2.939716814136147,1.113305,True,62.2283642743292,Elite
user_0017,0.7739263537654669,0.6900781922608235,0.2612509467129223,2.04427852174006,0.774192,False,57.247885033920994,Elite
user_0018,0.8109442397405241,0.8893324506516873,0.11841826567697716,6.0902684560303015,2.306457,True,67.7179895551652,Elite
user_0019,0.816854308300827,0.526854357785195,0.6655224187508343,0.6466547780789726,0.244896,False,58.852127306184656,Elite
user_0020,0.712040146080309,0.6390157022725876,0.10233649609775668,4.44616389405342,1.683815,True,57.765099525702574,Elite
user_0021,0.9002957099525326,0.7181599629625427,0.09513511012070619,6.7961905220323455,2.573798,True,58.643057847591955,Elite
user_0022,0.6213157162604516,0.6228530209153391,0.2334125632032494,1.657958618440006,0.627889,False,68.7696099381088,Elite
user_0023,0.8579503554487701,0.8176534896695485,0.03161167558227493,22.191360918851764,8.40413,True,57.767184668333144,Elite
user_0024,0.41636247353753114,0.24180941111512694,0.1816701204880629,0.5541933052395563,0.20988,False,54.14449642520104,Intermediate
user_0025,0.46230597192213824,0.4884302120711144,0.5708638535426791,0.39554825989834896,0.149799,False,46.30748955033228,Intermediate
user_0026,0.5225985942739853,0.4467993349278375,0.4176978152634123,0.5590086800156943,0.211703,False,33.13844948369677,Intermediate
user_0027,0.2599047688309294,0.3442859620807277,0.3129815556546918,0.28590043652620034,0.108274,False,40.358179074771456,Intermediate
user_0028,0.6002028011751426,0.4124391915125965,0.46803942076555605,0.5289023682137011,0.200302,False,19.27455915178963,Intermediate
user_0029,0.7073517695052194,0.6732483869917906,0.3159972760452308,1.5070491866740419,0.570737,False,49.40314970424315,Intermediate
user_0030,0.4650560531117153,0.23965318611062777,0.37116879643180906,0.3002735303174437,0.113717,False,28.763616485075342,Intermediate
user_0031,0.17305774165587504,0.3850509098063494,0.47163280279418873,0.14128796911249938,0.053507,False,21.587813374897912,Intermediate
