id,descripcion,dominio,tipo_trigger,b,r2,p,n,sig,significativo
A01,Brujas→Amberes 1300-1560,A,abrupto,-0.8567513538620615,-0.3170228792030807,0.2575001111350039,6,n.s.,False
A02,Toledo→Madrid 1528-1787,A,abrupto,0.704100679971145,0.3642486117829427,0.1272569500138276,6,n.s.,False
A03,Venecia→Amsterdam 1400-1650,A,abrupto,0.3408910296678718,0.1035817581858477,0.3685826615709764,6,n.s.,False
A04,Génova→Amsterdam 1550-1700,A,gradual,0.8245412495112922,0.7987837342968109,0.1479375246326924,5,n.s.,False
A05,Lübeck→Hamburgo 1500-1800,A,gradual,0.613666661496646,0.2326883925424286,0.2999729312820969,6,n.s.,False
A06,York→Londres 1300-1700,A,gradual,0.5861792904019947,0.0210896989765096,0.4412439122154499,5,n.s.,False
A07,Lyon→París 1500-1800,A,gradual,-0.3880283438215989,0.8211701081494329,0.0633662844080399,5,n.s.,False
A08,Cracovia→Varsovia 1550-1850,A,abrupto,0.5735519325633179,0.8401862994364416,0.0301543400746784,6,*,True
A09,Córdoba→Madrid 1200-1600,A,hibrido,1.792986351292052,0.9130454174960362,0.0067125232970886,5,**,True
A10,Filadelfia→Nueva York 1750-1900,A,gradual,-0.1274911071800873,-0.0469289168019133,0.7223315871909617,5,n.s.,False
A11,Kioto→Tokio 1600-1950,A,abrupto,-0.0536035041277235,-0.0941518473645279,0.7556564918059948,6,n.s.,False
A12,Nankín→Pekín 1368-1600,A,abrupto,0.3143676045111239,0.4410774625520739,0.1646054448661471,6,n.s.,False
A13,Sevilla→Cádiz 1503-1778,A,abrupto,-0.7284582869880977,0.1024886297217806,0.065572390771803,6,n.s.,False
A14,Lima→Buenos Aires 1780-1900,A,gradual,0.3040111391631253,0.2664723084446306,0.2533829356849129,5,n.s.,False
A15,Alejandría→El Cairo 600-1200,A,abrupto,1.6188759770383698,0.962888084738674,0.0004597288965333,6,***,True
A17,Bagdad→El Cairo 800-1200,A,hibrido,0.2041643233332198,0.1334612473723663,0.3971935119972127,5,n.s.,False
A18,Chang'an→Hangzhou 600-1200,A,gradual,-0.2956718784571401,0.1428023976136226,0.3234515173320479,7,n.s.,False
A19,Kaifeng→Hangzhou 950-1200,A,abrupto,0.4286454685096731,0.1851564941697946,0.1806489025429806,5,n.s.,False
A20,Constantinopla→París 1000-1700,A,hibrido,-1.320746466785156,0.7337660900934851,0.013106825904792,6,*,True
A21,Tenochtitlan→Ciudad México 1400-1800,A,abrupto,0.4531595580070076,0.6110199888534377,0.3388556430100707,3,n.s.,False
A22,Vijayanagara→Madurai 1300-1700,A,abrupto,0.3993627018140828,0.3055210713272471,0.0841442571842868,6,n.s.,False
A23,Detroit→Chicago 1900-2020,A,gradual,0.3580344350019394,0.4588815642530871,0.0687324258591309,6,n.s.,False
A24,Liverpool→Londres 1800-2020,A,gradual,0.493223114559789,0.8941192005733035,0.0050384114045652,6,**,True
A25,Osaka→Tokio 1900-2020,A,gradual,-0.07458548157924,0.0447553825393882,0.5707872615287367,6,n.s.,False
C01,Tlaxcala→CDMX 1940-2022,C,gradual,0.1717998094252908,0.7781054278550446,0.0411748533926106,5,*,True
C02,Chiapas→CDMX 1940-2022,C,gradual,0.2650928483637481,0.7619658158152636,0.0475783527439871,5,*,True
C03,Querétaro→CDMX 1940-2022,C,gradual,-0.1416688240259313,0.8042287171679156,0.0402727361622478,5,*,True
C04,Nuevo León→CDMX 1940-2022,C,gradual,-0.055406205116026,0.829357421107832,0.0333994952741602,5,*,True
C05,Mezzogiorno→N.Italia 1861-2020,C,abrupto,0.1299903072087105,0.7887667752035956,0.0178428025765585,6,*,True
C06,Hauts-France→Île-France 1975-2020,C,gradual,0.0706905258749733,0.8521710522873092,0.0672798240858512,4,n.s.,False
C07,Appalachia→Noreste EUA 1950-2020,C,gradual,-0.0770199947162077,0.9840544607807922,0.0010143732770913,5,**,True
C08,Mississippi→Nueva York 1900-2020,C,gradual,-0.0894206211822258,0.3416654514005033,0.2464608696414545,5,n.s.,False
C09,Andalucía→Cataluña 1850-2020,C,gradual,0.0880176224542178,0.6297095991978541,0.0796029451062801,5,n.s.,False
C10,Gales→Londres 1850-2020,C,abrupto,-0.0044249409136398,-0.0070247615160401,0.9420212184645276,5,n.s.,False
C11,Gansu→Guangdong 1978-2020,C,abrupto,0.2451381491145274,0.8991737774759698,0.0118180950409697,5,*,True
C12,Oaxaca→CDMX 1940-2022,C,gradual,0.2701862525849599,0.7940470997797897,0.040342335742859,5,*,True
C13,Veracruz→CDMX 1940-2022,C,gradual,0.1869709166802818,0.768565626098492,0.0479456878243083,5,*,True
C14,Guerrero→CDMX 1940-2022,C,gradual,0.2826743492898581,0.7822589793958238,0.0445036171599506,5,*,True
C15,Puebla→CDMX 1940-2022,C,gradual,0.153950823735001,0.8078189162880316,0.0392172086899695,5,*,True
C16,Bihar→Maharashtra India 1980-2020,C,gradual,0.2298010967743829,0.5294899689366575,0.3514263220184279,4,n.s.,False
C17,Nordeste→São Paulo Brasil 1950-2020,C,gradual,0.2161060965488225,0.8230684130929516,0.040111498507432,5,*,True
C18,Sicilia→Lombardía Italia 1900-2020,C,gradual,0.0561452587316212,0.8467449831741538,0.0217754119204907,5,*,True
C19,Manchuria→Shanghai China 1978-2020,C,abrupto,0.1674013573265425,0.4629221082667004,0.2487391767482899,5,n.s.,False
C20,Mississippi→Texas 1970-2020 EEUU,C,hibrido,0.003717145933352,0.006072497953511,0.9151595609613772,5,n.s.,False
C21,Sinaloa→CDMX 1940-2022,C,gradual,0.122150980464318,0.8378406322245093,0.0282240706697679,5,*,True
D01,Basic→Elite HackerEarth,D,abrupto,2.570593579208078,0.2720438099196606,0.1216190904718591,5,n.s.,False
D02,Yahoo→Google 1998-2016,D,abrupto,2.978532937911957,0.9016216888101968,0.0166545687367024,5,*,True
D03,MySpace→Facebook 2004-2011,D,abrupto,2.695241032891007,0.2573153800868097,0.0687810243755213,5,n.s.,False
D04,Nokia→Apple/Android 2007-2015,D,abrupto,2.8535328065318493,0.4871614431475212,0.051706336408017,4,n.s.,False
D05,Blackberry→iPhone 2007-2016,D,abrupto,2.364111298204797,0.2936666210051269,0.1092346358568228,4,n.s.,False
D06,Blockbuster→Netflix 1999-2010,D,hibrido,-2.2657318999723386,-0.4797618172779336,0.3723550580226324,5,n.s.,False
D07,Kodak→Digital 1990-2012,D,hibrido,1.1835921104093337,-0.2604593779576594,0.5976997646868175,5,n.s.,False
D08,AOL→Google 1997-2015,D,gradual,2.748675082578955,0.4726281734795483,0.1652940023540746,3,n.s.,False
D09,IE→Chrome 2008-2020,D,abrupto,2.633973989697636,0.9906285425339636,0.0179618156252041,3,*,True
D11,Spotify→Apple Music 2015-2024,D,gradual,0.5648549565000468,0.9831729226406808,0.0784372795248263,3,n.s.,False
D12,Amazon→Walmart ecomm 2015-2024,D,gradual,-0.091690886444273,0.0763827343090921,0.592685477374996,5,n.s.,False
D13,WhatsApp→Telegram 2013-2024,D,gradual,-1.8541505327729773,0.5834859969690318,0.012514157956395,5,*,True
D15,Uber→Lyft 2014-2024,D,gradual,0.4661780781234646,0.8147115492366566,0.250122019504222,3,n.s.,False
D16,Reddit→Discord 2016-2024,D,gradual,-0.7785076554131116,0.6952935377798513,0.2255964958955045,4,n.s.,False
E01,Rata parda→negra Europa,E1,abrupto,1.3823692119600166,-0.0266001696135307,0.0381781053468391,6,*,True
E02,Rata parda→polinesia NZ,E1,abrupto,1.3920216412690287,0.0105264662154294,0.0381766799413606,5,*,True
E03,Abejas africanas→europeas Br,E1,abrupto,2.279710985587214,0.3699191084480434,0.0067328371383531,5,**,True
E04,Homo sapiens→Neandertal,E1,gradual,0.3645969071506027,0.0560440422496093,0.1351251159406806,5,n.s.,False
E05,Rattus→nativos Tailandia,E1,gradual,0.61956306011132,0.2980260927869319,0.2359697479811036,4,n.s.,False
E06,Trucha arcoíris→Cutthroat EEUU,E1,abrupto,1.043932637566512,0.206749347551714,0.0472771231678562,5,*,True
E07,Serpiente marrón→fauna Guam,E1,abrupto,4.668154688056208,0.7058329657023934,0.018897463710237,4,*,True
E08,Carpa común→peces nativos EUA,E1,gradual,0.9388492715104844,0.423205088292918,0.0246516877834423,5,*,True
E09,Lince→Liebre Canada 1845-1935,E2,gradual,-0.2039694129693249,0.4339125671108824,0.3909749894913032,5,n.s.,False
E10,Tiburon→Pez Adriático 1914-1923,E2,abrupto,0.0747604032903681,-0.0351516625640098,0.92578226994437,4,n.s.,False
E11,Lobo→Alce Yellowstone 1995-2020,E2,abrupto,0.78800722972192,0.5884992730659088,0.0083332481495893,5,**,True
E12,León→Ñu Serengeti 1970-2020,E2,gradual,-0.2523377911823971,0.9607895667373996,0.0035015229326988,5,**,True
E13,VIH→CD4 sin tratamiento,E3,abrupto,0.7905981270461975,0.3549214253333004,0.0448743726734893,7,*,True
E14,Bacteria resistente→sensible,E3,abrupto,1.400408261779335,0.923987800467057,0.0001821195800337,6,***,True
E15,Phytophthora→Papa Irlanda,E3,abrupto,1.6413417260708398,-0.5631491013971623,0.0502134571004416,6,n.s.,False
E16,SARS-CoV-2→variantes 2020-2023,E3,abrupto,7.086361094780334,0.9884518617147424,0.0002943118030037,5,***,True
E17,Fusarium→Plátano Gros Michel→Cav,E3,hibrido,3.5353601749336923,0.9732276070099116,0.0038883790375647,4,**,True
F01,Júpiter→Sistema Solar 0-10Myr,F1,gradual,0.5648160630355792,-0.2347235416505706,0.3011025243338104,5,n.s.,False
F02,Júpiter→Saturno formación,F1,gradual,0.5029457646426807,0.4098474942284592,0.099370828359619,5,n.s.,False
F03,Júpiter→Marte Grand Tack,F1,abrupto,2.046964527632751,-4.000791065491987,0.0743953972209875,5,n.s.,False
F04,Venus→Tierra masa comparada,F1,gradual,-0.6362846082254497,0.7379967850683811,0.0380458780286972,5,*,True
F05,Sirio A→Sirio B 0-250Myr,F2,gradual,0.5822034596630496,0.964480051894775,0.0044011279214975,5,**,True
F06,Variable Cataclísmica acreción,F2,abrupto,0.2027791681982153,0.6002337614788349,0.0698832350524382,5,n.s.,False
F07,Eta Carinae A→B binario masivo,F2,gradual,0.0243769560423169,0.7395461387356237,0.0612289463722464,5,n.s.,False
F08,Cygnus X-1 acreta HDE226868,F3,abrupto,0.1980097983904041,0.750920139657456,0.0548501414724042,5,n.s.,False
F09,Sgr A* acreta nube G2 2011-16,F3,abrupto,1.8835728735614847,0.379573793000338,0.0944105357178765,5,n.s.,False
F10,M87* acreta material jet,F3,gradual,0.1303171147547338,0.8951058945392044,0.0540694600409725,4,n.s.,False
F11,Vía Láctea→LMC 0-5Gyr,F4,gradual,-0.6402001767120226,0.841451000226511,0.0258069704730334,5,*,True
F12,Vía Láctea→Sgr dSph 0-4Gyr,F4,gradual,2.7105617138544704,0.8631488323214289,0.0039438298079117,5,**,True
F13,M31 Andrómeda→M32 0-5Gyr,F4,gradual,-2.8519189445536264,0.999411632060302,4.8861098123993616e-05,5,***,True
F14,Andrómeda→Vía Láctea futura,F4,gradual,-5.199467253833449e-17,0.0,,4,n.s.,False
F11_3C273_vs_Galaxia,Quásar 3C273 vs galaxia anfitriona (z=0.158),F3,abrupto,0.644471763242666,0.96657307376337,0.0036214092101095,5,,True
F12_M87_vs_Galaxia,M87* (6.5×10^9 M_sol) acreta gas caliente del cúmu,F3,gradual,0.0045173116475419,0.4548275139030585,0.2130626464253759,5,,False
F13_TON618_vs_Galaxia,TON 618 (6.6×10^10 M_sol) — el agujero negro más m,F3,abrupto,6.498156867628006,0.2261543845865313,0.0015527843486383,5,,True
F14_SgrA_vs_ProximaEstrella,Sgr A* vs estrellas del cúmulo S (S2 en órbita 16 ,F3,gradual,0.0011445567092974,0.6173707687097774,0.0639427120173251,6,,False
F15_OJ287_Binario_AGB,OJ 287 — sistema binario de agujeros negros superm,F3,abrupto,0.0011732083965333,0.6384720669401689,0.0565215294775547,6,,False
F16_51Pegb_vs_RocosHermanos,51 Peg b (Hot Jupiter) vs planetas rocosos del sis,F1,abrupto,4.389671264663255,-0.5421156994364325,0.007298973599431,5,,True
F17_TRAPPIST1_vs_Planetas,TRAPPIST-1 (estrella enana M) vs sus 7 planetas (j,F1,gradual,-0.1184777215104607,0.7159998972801085,0.0432282281350434,5,,True
F18_HotJupiter_vs_Rocosos_Estadistica,Hot Jupiters vs planetas rocosos: exclusión compet,F1,abrupto,3.052849774943949,-5.790951280331731,0.0460099076200908,5,,True
F19_Neptuno_vs_CinturonKuiper,Neptuno vs Cinturón de Kuiper (dispersión gravitac,F1,gradual,0.6876227615417494,0.5736490437868256,0.0043238955002803,6,,True
F20_Sol_vs_Mercurio,Sol vs Mercurio (ratio masa — extremo del sistema ,F1,gradual,-0.4759020346278241,0.7152984568964298,0.0750651270069567,5,,False
F21_ViaLactea_vs_Fornax,Vía Láctea vs galaxia enana Fornax (satélite en ór,F4,gradual,0.0162844004825295,0.919669010831926,0.0099022225169565,5,,True
F22_AndromedaM31_vs_NGC147,Andrómeda (M31) vs NGC 147 y NGC 185 (enanas satél,F4,gradual,0.1434665676929866,0.8740936185464034,0.0206183932551562,5,,True
F23_GrupoLocal_vs_Draco,"Vía Láctea vs Draco (enana más antigua, z~5000x má",F4,gradual,0.5357969444267638,0.9065519478915176,0.0132355873961685,5,,True
E18_Carpa_vs_PecesNativos_Australia,Carpa común (Cyprinus carpio) vs peces nativos Aus,E1,abrupto,1.572105075481497,0.5858802433319212,0.0022288244063642,6,,True
E19_Rana_Toro_vs_Anfibios_Europa,Rana toro americana (Lithobates catesbeianus) → an,E1,abrupto,1.1974088442191575,0.1307296590107513,0.0285550130705061,6,,True
E20_Mejillon_Cebra_vs_Nativos_EEUU,Mejillón cebra (Dreissena polymorpha) → moluscos n,E1,abrupto,2.5433209774386323,0.8846519705099711,0.0006271886021436,5,,True
E21_Gato_vs_Aves_Islas,Gato doméstico (Felis catus) vs aves nidificantes ,E1,abrupto,1.9843416028292225,0.27866281440038,0.0027740360831836,6,,True
E22_COVID19_vs_Variantes,Variantes COVID-19 — desplazamiento entre cepas (2,E3,abrupto,0.1544768306564755,-0.29956682219641,0.9065824185458868,7,,False
E23_Bd_vs_Anfibios_Global,Batrachochytrium dendrobatidis (Bd) → anfibios glo,E3,gradual,1.4366748155513689,0.5860649929756191,0.0052741650423264,6,,True
E24_Ebola_vs_Gorilas_Africa,Ébola vs gorilas occidentales (Gorilla gorilla) Co,E3,abrupto,1.308661213712041,0.0276909434919355,0.033324723007083,6,,True
D17_Google_vs_Bing_Busqueda,Google vs Bing en búsqueda (2009-2024),D,gradual,-0.0506270048890426,0.0006626456940418,0.7993626897904138,5,,False
D18_Amazon_vs_eBay_Ecomm,Amazon vs eBay en e-commerce EEUU (2010-2024),D,gradual,1.1546017124729149,0.9125278607065654,0.0056990248499462,5,,True
D19_iOS_vs_WindowsMobile,iOS/Android vs Windows Mobile (2007-2015),D,abrupto,2.661730894838928,0.4849482961585747,0.0101706628274967,5,,True
D20_Netflix_vs_Blockbuster_Global,Streaming global vs videoclub tradicional (2010-20,D,hibrido,3.4762987797378764,-0.1101000373110192,0.0545602127781294,5,,False
B_GBR_PRT,GBR→PRT (1820-2022),B,abrupto,-0.2947,0.3158,0.121354,8,,False
B_GBR_ESP,GBR→ESP (1820-2022),B,gradual,-0.0152,-0.0221,0.846953,8,,False
B_GBR_ITA,GBR→ITA (1820-2022),B,gradual,-0.0367,0.0228,0.546562,8,,False
B_GBR_GRC,GBR→GRC (1820-2022),B,gradual,-0.0252,-0.0474,0.822388,8,,False
B_GBR_POL,GBR→POL (1820-2022),B,abrupto,-0.0837,0.0921,0.314591,8,,False
B_GBR_ROU,GBR→ROU (1820-2022),B,abrupto,-0.1058,0.0513,0.323557,8,,False
B_GBR_BGR,GBR→BGR (1820-2022),B,abrupto,-0.1048,0.0604,0.312527,8,,False
B_GBR_UKR,GBR→UKR (1820-2022),B,abrupto,-0.0194,-0.0098,0.729066,8,,False
B_GBR_RUS,GBR→RUS (1820-2022),B,abrupto,-0.0659,0.0929,0.335863,8,,False
B_GBR_IND,GBR→IND (1820-2022),B,gradual,0.2577,0.3298,0.023301,8,,True
B_GBR_CHN,GBR→CHN (1820-2022),B,gradual,0.1338,0.0034,0.412512,8,,False
B_GBR_EGY,GBR→EGY (1820-2022),B,abrupto,-0.1117,0.0598,0.465328,8,,False
B_GBR_NGA,GBR→NGA (1820-2022),B,gradual,0.072,0.0172,0.745619,8,,False
B_GBR_GHA,GBR→GHA (1820-2022),B,abrupto,0.1027,0.0182,0.695068,8,,False
B_GBR_ZAF,GBR→ZAF (1820-2022),B,hibrido,-0.0156,0.0059,0.86306,8,,False
B_GBR_AUS,GBR→AUS (1820-2022),B,gradual,-0.0616,0.2288,0.216601,8,,False
B_GBR_NZL,GBR→NZL (1820-2022),B,gradual,0.0116,0.0271,0.698166,8,,False
